,area,road,latitude,longitude
0,Indiranagar,100 Feet Road,12.975179,77.641074
1,Indiranagar,Cmh Road,12.978539,77.646629
2,Whitefield,Marathahalli Bridge,12.956829,77.705886
3,Koramangala,Sony World Junction,12.93696,77.626425
4,Koramangala,Sarjapur Road,12.924649,77.638278
5,M.G. Road,Trinity Circle,12.972828,77.619463
6,M.G. Road,Anil Kumble Circle,12.976529,77.601811
7,Jayanagar,Jayanagar 4Th Block,12.928559,77.582347
8,Jayanagar,South End Circle,12.93705,77.580081
9,Hebbal,Hebbal Flyover,13.041662,77.589944
10,Hebbal,Ballari Road,13.0358,77.597
11,Yeshwanthpur,Yeshwanthpur Circle,13.01906,77.558067
12,Yeshwanthpur,Tumkur Road,13.0237,77.5507
13,Whitefield,Itpl Main Road,12.992441,77.715962
14,Electronic City,Silk Board Junction,12.9175,77.6228
15,Electronic City,Hosur Road,12.845,77.664
